height, algo, pow_hash, timestamp, bits
98, blake14lr, 0032dedc8a52c03afc8797498cd39e752c6bcd00416b43fc9ed977f22c333c52, 1545975154, 1f334477
99, scrypt, 00029d4f3694e2bcf15bd6e7c6e8ed822f7cd0047ef6d34fcae67686fb567518, 1545975199, 1f502e14
100, x11, 003eff313397956cd1e974cc559381f7dbd3ff787406dc0b9995e2784ac36943, 1545975229, 1f62f870
101, sha256d, 000cd5d83d53d268da2b971fa8fc6e3f982beffd31b3dc1757dc2cf2ad044d3d, 1545975259, 1f71a6ab
102, stribog, 00566adb37c11bcc5635ece847d100e738497030abc320a1a72a4f3c961902e7, 1545975274, 1f795854
103, scrypt, 009ea6518fe235509cb2b734ea0f41fbf3892fa89938c7ee82008d4370398892, 1545975304, 2000c29d
104, scrypt, 002aed6af6a7b280de6691045892144991f4155076609163d71a34a2120e7bb9, 1545975307, 20012466
105, x11, 000402c9eb2c21cfc99250b8b1371aa0f6cc7c7bb35a11ea0848ff2a46e2e63c, 1545975319, 200168ba
106, skein, 014a5daba40770be52086fb25fba6907f11909e9f9345007385145fd2af39e79, 1545975334, 20017e1b
107, lyra2rev2, 003293c9d1a65dc848c48e416f7c44f04eb2e4cbc6ebd01bd354574cc3a97a87, 1545975349, 20023fff
108, stribog, 01e50934f7e879a9c806bf8a283d171b28f2d6fb5844ca3fcf98e7dcc0802e6f, 1545975364, 20023fff
109, sha256d, 019cdac987ebef19b43c2df32a8834bc86703dcfc3f1e00f348b209039cb3efb, 1545975371, 20023fff
110, scrypt, 015ff794b9ccafb77bea5491c0727866891f36f38829e3635a7808476640c458, 1545975379, 20023fff
111, scrypt, 0134641d23414c45ea0f7b3c9c08cbd9c8f0cd3f4b2bef834a5eb04aca81b54b, 1545975381, 20023fff
112, stribog, 0081f061ee50378c8b2d611716a44bc9b6706d8b3a4483cd59f2e169694f79c4, 1545975386, 20023fff
113, scrypt, 0148ec1682ccbb3bef33e581005a06811be26a8722c947c375f8a1882082b18f, 1545975393, 20023fff
114, scrypt, 00d1c073aa8eb044be7696fd243f5c77520f4098ab0e07f39ba1e5e0ca6b895b, 1545975395, 20023fff
115, scrypt, 01be4cff4e7e830288f1a64eb770f0352ad2f2d287bc34e8d5b91075fb648132, 1545975402, 20023fff
116, sha256d, 00fdb5937a674872cfbc50f5c234e39048388906e7e910caced4cbf498768c4b, 1545975409, 20023fff
117, lyra2rev2, 0033d1686c8668132c6776ffc4eed2ee975701d7ef622d11de89c1d4a1613f05, 1545975414, 20023fff
118, cryptonight7v2, 017fe30fd296eee4049003fa29ee1c3b08685fcc8f3a727b1173b3b2ef0fe321, 1545975424, 20023fff
119, scrypt, 02329c194c78e9bff709d380838d80361960d0ef8c8fbb08888fb7d47276e91f, 1545975429, 20023fff
120, x11, 02185d73da76360929ba1c5e8e86a930b0105221fc4008f51f3c154836584eaf, 1545975439, 20023fff
121, x11, 005eda9671269f48a0b95841515d55042456d1d2ae6e9c6126c6465fff3e000c, 1545975442, 20023fff
122, stribog, 0146e0f8e5babfe47508fc7d97761b0f10341cf7ee824b4ab3e5177486785cba, 1545975454, 20023fff
123, stribog, 0156164a47cb67baf94d913d85b28d837ad147963b60ff60cb07a5da6e9b4d5b, 1545975457, 20023fff
124, stribog, 01834339b6be2eaa1cfeade0f511a39eb07d413839f639faaeb3f3b482f6191c, 1545975460, 20023fff
125, stribog, 017cb8be3499ac9a265653126606b43c7e1cd1c11daf30f28602f9351f6ad2c3, 1545975468, 20023fff
126, stribog, 006709e61fb13361da46feabf14639d9dbf45cb6593adda20e7652d0163be296, 1545975470, 20023fff
127, stribog, 01205f7057454b469bd97bed2b1d940d440d7a06e082ad1f14cd7b64d8bae60c, 1545975484, 20023fff
